userid;ratingType;movie;rate;duration
1;thumbs;Friday the 13th;thumbDown;13,754
1;thumbs;The Conjuring;thumbDown;2,946
1;thumbs;Black Panther;thumbUp;4,644
1;thumbs;The Hunger Games: Catching Fire;thumbUp;3,811
2;star;Fast & Furious 6;4;27,632
2;star;The Lion King;5;4,129
2;star;The Wolf of Wall Street;5;2,659
2;star;American Pie;3;2,621
2;star;50 First Dates;4;5,914
2;star;Cars;4;5,558
2;star;Edward Scissorhands;5;2,65
2;star;Star Trek;5;6,389
2;star;War for the Planet of the Apes;5;3,916
2;star;The Shape of Water;4;4,309
2;star;Maleficent;2;4,031
2;star;The Blue Lagoon;3;3,43
2;star;Toy Story 3;5;2,208
2;star;The Twilight Saga: New Moon;3;12,197
2;star;Ted;1;3,792
2;star;Batman v Superman: Dawn of Justice;3;11,129
2;star;Twilight;3;8,344
2;star;Minha Ṃe ̩ uma Pe̤a: O Filme;5;10,304
2;star;Black Panther;5;4,635
2;star;Interstellar;5;14,759
2;star;Star Wars: The Force Awakens;4;6,24
2;star;Titanic;4;4,061
2;star;Skyfall;4;3,019
2;star;Guardians of the Galaxy;4;5,615
2;star;Bruce Almighty;4;4,13
2;star;Fantastic Beasts and Where to Find Them;4;4,977
2;star;Corpse Bride;4;5,26
2;star;Despicable Me;3;7,998
2;star;I Am Legend;3;5,944
2;star;Miss Peregrine's Home for Peculiar Children;3;8,911
2;star;Frozen;1;5,603
2;star;The Hunger Games: Catching Fire;4;3,642
2;star;Captain America: Civil War;5;2,958
2;star;Avatar;5;1,791
2;star;Shrek;5;2,538
2;star;Harry Potter and the Deathly Hallows: Part 2;5;4,767
2;star;The Hangover;3;3,451
2;star;The Conjuring;5;6,602
2;star;O Auto da Compadecida;4;4,85
2;star;Troy;3;6,638
2;star;The Dark Knight;5;6,646
2;star;Iron Man;4;6,304
2;star;Zootopia;2;3,878
2;star;The Karate Kid;3;7,552
2;star;Justice League;3;5,328
2;star;Spider-Man: Homecoming;3;4,002
2;star;Finding Nemo;5;5,262
2;star;Hotel Transylvania;5;3,658
2;star;Paranormal Activity;3;6,65
2;star;Suicide Squad;1;5,26
2;star;The Matrix;4;5,831
2;star;The Incredibles;5;4,413
2;star;The Lord of the Rings: The Return of the King;5;3,536
2;star;Jurassic Park;5;2,498
2;star;Dear John;3;3,917
2;star;Thor: Ragnarok;4;2,662
2;star;Avengers: Infinity War;5;2,382
2;star;Gravity;5;2,779
2;star;300;2;3,634
2;star;Deadpool;4;5,718
2;star;Ice Age;5;7,045
2;star;The Twilight Saga: Eclipse;3;10,006
2;star;The Passion of the Christ;4;3,137
2;star;Monsters, Inc,;5;3,838
2;star;John Wick;2;8,703
2;star;Rio;2;4,683
2;star;Elite Squad;4;2,959
2;star;Me Before You;4;7,264
2;star;Se Eu Fosse Voc̻;4;4,381
2;star;It;4;3,034
2;star;Pirates of the Caribbean: The Curse of the Black Pearl;4;15,101
2;star;The Hobbit: The Desolation of Smaug;5;3,03
2;star;Click;5;1,811
3;thumbs;Justice League;thumbUp;14,263
3;thumbs;Se Eu Fosse Voc̻;thumbDown;5,185
3;thumbs;O Auto da Compadecida;thumbDown;1,599
4;star;Sharknado;4;71,29
4;star;Thor: Ragnarok;5;6,089
4;star;Paranormal Activity;4;4,488
4;star;Iron Man;5;2,983
4;star;The Hobbit: The Desolation of Smaug;5;3,318
4;star;Friday the 13th;3;6,908
4;star;Harry Potter and the Deathly Hallows: Part 2;5;10,295
4;star;The Shape of Water;5;2,974
4;star;Black Panther;5;2,415
4;star;Skyfall;5;1,606
4;star;Ted;4;2,247
4;star;Minha Ṃe ̩ uma Pe̤a: O Filme;5;2,164
4;star;Fast & Furious 6;5;1,528
4;star;Beauty and the Beast;5;2,549
4;star;It;3;2,306
4;star;Deadpool;5;1,679
4;star;Ice Age;5;3,174
4;star;Guardians of the Galaxy;5;2,357
4;star;Fight Clube;5;2,59
4;star;The Incredibles;5;6,175
4;star;Finding Nemo;5;1,436
4;star;War for the Planet of the Apes;5;2,424
4;star;Titanic;5;1,538
4;star;Monsters, Inc,;5;1,138
4;star;The Blue Lagoon;5;1,86
4;star;Cars;5;1,554
4;star;The Matrix;5;1,479
4;star;Maleficent;5;1,587
4;star;Captain America: Civil War;5;1,388
4;star;Justice League;5;3,768
